2024-02-06 10:50:59,174 INFO    MainThread:36696 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
config: {'device': 'auto', 'root_dir': 'output_testing', 'seed': 2, 'param_count': 2438, 'dataset__root': '../Data', 'dataset__name': 'george_test', 'dataset__sem_name': 'non-linear', 'dataset__splits': [0.8, 0.1, 0.1], 'dataset__k_fold': 1, 'dataset__shuffle_train': True, 'dataset__single_split': False, 'dataset__loss': 'default', 'dataset__scale': 'default', 'dataset__num_samples': 25000, 'dataset__base_version': 1, 'dataset__add_noise': False, 'dataset__type': 'torch', 'dataset__use_edge_attr': False, 'model__name': 'causal_nf', 'model__layer_name': 'maf', 'model__net_name': 'mlp', 'model__dim_inner': [32, 32, 32], 'model__num_layers': 1, 'model__init': None, 'model__act': 'elu', 'model__dropout': 0.0, 'model__has_bn': False, 'model__distr_u': 'laplace', 'model__scale_base': False, 'model__shift_base': False, 'model__scale': False, 'model__parity': False, 'model__adjacency': True, 'model__base_to_data': False, 'model__base_distr': 'normal', 'model__learn_base': False, 'model__plot': False, 'model__latent_dim': 4, 'model__objective': 'elbo', 'model__beta': 1.0, 'model__distr_x': 'normal', 'model__lambda_': 0.01, 'gnn__num_layers_pre': 1, 'gnn__num_layers': 1, 'gnn__num_layers_post': 1, 'gnn__dim_inner': 64, 'gnn__heads': 1, 'gnn__stage_type': 'skipsum', 'gnn__aggregators': ['sum', 'mean', 'min', 'max', 'std'], 'gnn__scalers': ['identity', 'amplification', 'attenuation', 'linear', 'inverse_linear'], 'gnn__towers': 1, 'gnn__pre_layers': 1, 'gnn__post_layers': 1, 'gnn__eps': 0.0, 'gnn__train_eps': False, 'gnn2__num_layers_pre': 1, 'gnn2__num_layers': 1, 'gnn2__num_layers_post': 1, 'gnn2__dim_inner': 64, 'gnn2__heads': 1, 'gnn2__stage_type': 'skipsum', 'gnn2__aggregators': ['sum', 'mean', 'min', 'max', 'std'], 'gnn2__scalers': ['identity', 'amplification', 'attenuation', 'linear', 'inverse_linear'], 'gnn2__towers': 1, 'gnn2__pre_layers': 1, 'gnn2__post_layers': 1, 'gnn2__eps': 0.0, 'gnn2__train_eps': False, 'train__regularize': False, 'train__kl': 'forward', 'train__max_epochs': 10, 'train__batch_size': 4096, 'train__num_workers': 0, 'train__limit_train_batches': None, 'train__limit_val_batches': None, 'train__auto_scale_batch_size': False, 'train__auto_lr_find': False, 'train__profiler': None, 'train__enable_progress_bar': True, 'train__max_time': '00:01:00:00', 'train__model_checkpoint': True, 'train__inference_mode': False, 'early_stopping__activate': False, 'early_stopping__min_delta': 0.0, 'early_stopping__patience': 3, 'early_stopping__verbose': False, 'optim__optimizer': 'adam', 'optim__base_lr': 0.001, 'optim__beta_1': 0.9, 'optim__beta_2': 0.999, 'optim__momentum': 0.0, 'optim__weight_decay': 0.0, 'optim__scheduler': 'plateau', 'optim__gamma': 0.99, 'optim__step_size': 100, 'optim__mode': 'min', 'optim__factor': 0.95, 'optim__patience': 60, 'optim__cooldown': 0}
2024-02-06 10:50:59,176 INFO    MainThread:36696 [wandb_init.py:init():596] starting backend
2024-02-06 10:50:59,177 INFO    MainThread:36696 [wandb_init.py:init():600] setting up manager
2024-02-06 10:50:59,181 INFO    MainThread:36696 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-02-06 10:50:59,183 INFO    MainThread:36696 [wandb_init.py:init():606] backend started and connected
2024-02-06 10:50:59,204 INFO    MainThread:36696 [wandb_init.py:init():697] updated telemetry
2024-02-06 10:50:59,258 INFO    MainThread:36696 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2024-02-06 10:50:59,871 INFO    MainThread:36696 [wandb_run.py:_on_init():2180] communicating current version
2024-02-06 10:51:00,006 INFO    MainThread:36696 [wandb_run.py:_on_init():2189] got version response upgrade_message: "wandb version 0.16.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-06 10:51:00,006 INFO    MainThread:36696 [wandb_init.py:init():781] starting run threads in backend
2024-02-06 10:51:02,969 INFO    MainThread:36696 [wandb_run.py:_console_start():2159] atexit reg
2024-02-06 10:51:02,970 INFO    MainThread:36696 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2024-02-06 10:51:02,970 INFO    MainThread:36696 [wandb_run.py:_redirect():2079] Wrapping output streams.
2024-02-06 10:51:02,970 INFO    MainThread:36696 [wandb_run.py:_redirect():2104] Redirects installed.
2024-02-06 10:51:02,970 INFO    MainThread:36696 [wandb_init.py:init():822] run started, returning control to user process
2024-02-06 10:52:39,881 INFO    MainThread:36696 [wandb_run.py:_finish():1894] finishing run georgi_vitanov/CAUSAL_NF/sbat5knz
2024-02-06 10:52:39,881 INFO    MainThread:36696 [wandb_run.py:_atexit_cleanup():2128] got exitcode: 0
2024-02-06 10:52:39,881 INFO    MainThread:36696 [wandb_run.py:_restore():2111] restore
2024-02-06 10:52:39,881 INFO    MainThread:36696 [wandb_run.py:_restore():2117] restore done
2024-02-06 10:52:46,391 INFO    MainThread:36696 [wandb_run.py:_footer_history_summary_info():3481] rendering history
2024-02-06 10:52:46,392 INFO    MainThread:36696 [wandb_run.py:_footer_history_summary_info():3513] rendering summary
2024-02-06 10:52:46,404 INFO    MainThread:36696 [wandb_run.py:_footer_sync_info():3440] logging synced files
